% Model,GRIN_Paper_Dissertation_Verification_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:56"
% Table,"Table 5 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% freq,T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
500,0.9875144018502526,0.17620174640969263,-15.68306985558877,73.66728261544851,0.9507508831503627-0.2669409149052795i,0.04955052777356504+0.1690911015848758i
600,0.9808203397635707,0.21024388094333823,-18.75598963398125,70.7927501196869,0.9287353678542956-0.31537145620755314i,0.06916732286936972+0.1985406027018175i
700,0.9730633243224824,0.2435545253853256,-21.800924040727512,67.89550470197108,0.9034696772496666-0.3613789914091628i,0.0916488263604102+0.22565305108158984i
800,0.9643158663292581,0.2760377801134812,-24.813872390819057,64.99776374454983,0.8752862666971067-0.404696233471216i,0.11666837106024806+0.2501706362547908i
900,0.9546572026756222,0.307610098272257,-27.791180327008032,62.11323025942337,0.8445401260678018-0.4451093686745151i,0.14387715778896612+0.2718884624724568i
1000,0.9441715412756408,0.3382007762584184,-30.72956705644078,59.2511681955172,0.8115991832886936-0.48245897757212963i,0.17291379251022362+0.29065544106644225i
1100,0.9329463160230099,0.36775214187022864,-33.62614350628438,56.418244106831835,0.7768351465335659-0.5166391232679529i,0.20341338251841456+0.306373356646034i
1200,0.9210705138499635,0.3962194311072844,-36.47842169030489,53.61944586923596,0.7406151352800803-0.5475948437283759i,0.23501584228806321+0.3189943439320081i
1300,0.9086331250245895,0.42357037964110683,-39.28431590279035,50.8585804764975,0.7032943615282343-0.5753183439927364i,0.2673731483373249+0.32851707118123746i
1400,0.8957217554520034,0.4497845714400541,-42.04213660414647,48.138564936240314,0.6652100286414047-0.5998442139296837i,0.30015537639735623+0.3349819558204211i
1500,0.8824214268446317,0.4748525945188298,-44.75057803031325,45.461609316784774,0.6266765250735196-0.6212439999519465i,0.33305544430134365+0.3384657405742843i
1600,0.8688135783377393,0.49877505578236647,-47.4087006432089,42.82934078667653,0.5879819106112343-0.6396204395561399i,0.3657925636417372+0.33907573881820036i
1700,0.8549752722330493,0.5215615050789499,-50.015909560079,40.24289392469104,0.5493856279363477-0.6551016317694237i,0.3981144680105789+0.33694402196933737i
1800,0.8409785975003489,0.5432293141038507,-52.57193005668272,37.702980864888886,0.5111173243551448-0.6678353705799742i,0.42979853355926734+0.3322217757041875i
1900,0.8268902577097057,0.5638025496876813,-55.07678115474724,35.209948745946534,0.4733766373577205-0.6779838180215814i,0.460651938769539+0.3250740013323046i
2000,0.8127713252049185,0.5833108740297783,-57.53074819127057,32.76382865435528,0.43633378172684345-0.6857186434677933i,0.4905110261949511+0.3156746884730544i
2100,0.7986771403949386,0.601788497291948,-59.9343551339545,30.364378445461686,0.40013077279566445-0.6912167093259399i,0.5192400320222573+0.30420253880996156i
2200,0.7846573337576495,0.6192732011270747,-62.28833727248134,28.011120817383826,0.36488312715410415-0.6946563430487807i,0.5467293425292646+0.2908372803677211i
2300,0.77075594822961,0.6358054455174607,-64.59361477932426,25.703377453200897,0.33068189581429824-0.6962142023199375i,0.5728934227724046+0.2757565786953695i
2400,0.7570116407111513,0.6514275659459432,-66.85126751144789,23.440299734751903,0.29759590276088627-0.6960627147262827i,0.5976685448497455+0.2591335257573668i
2500,0.7434579431865499,0.666183063491805,-69.0625113113625,21.220896366314417,0.2656740818137213-0.6943680548092714i,0.6210104230433799+0.24113466891927537i
2600,0.7301235661409624,0.6801159869509569,-71.22867597113306,19.044058159654238,0.23494782497328914-0.6912886093193761i,0.6428918428501654+0.22191853032811923i
2700,0.7170327293293652,0.6932704034493804,-73.351184943868,16.908580190631,0.2054332746813955-0.6869738747457556i,0.6633003515881103+0.20163456023696935i
2800,0.7042055073678047,0.7056899521631306,-75.43153682142375,14.813181519695947,0.17713350992400143-0.6815637286924466i,0.6822360607513457+0.18042246532648754i
2900,0.6916581799101184,0.7174174745593154,-77.47128855044222,12.756522660774245,0.1500405912746324-0.6751880173748172i,0.6997095950367433+0.15841185377547526i
3000,0.6794035783044385,0.7284947139068079,-79.47204031980367,10.73722098036715,0.12413744278977516-0.6679664044774188i,0.7157402101399352+0.13572214181556103i
